crop_idx,soil_idx,irrigation,day_of_year,rain_7d,has_dry_gap,temp_mean,success
3,0,0,329,7.1,0,25.1,0
4,2,0,165,7.1,0,26.2,0
3,0,0,299,4.1,0,21.9,0
2,2,1,208,39.9,0,27.6,1
0,1,1,164,40.3,0,27.0,1
4,2,0,150,49.3,0,26.6,1
3,1,0,316,6.0,1,24.6,0
3,0,1,329,9.3,0,23.0,0
3,0,0,331,15.7,1,23.7,1
1,0,1,175,3.5,1,32.1,0
4,2,0,191,16.9,1,22.1,0
4,1,0,164,20.3,0,29.2,0
0,0,0,174,18.5,1,29.2,1
2,2,0,202,57.0,0,29.2,0
2,1,0,198,11.1,1,27.1,1
4,0,0,183,23.2,1,23.6,1
2,1,0,127,2.3,0,32.4,0
1,2,0,181,1.8,0,36.6,0
2,1,0,188,9.7,1,28.0,0
2,0,1,215,35.1,0,23.1,1
0,0,0,222,0.6,1,31.1,0
3,0,1,332,1.8,0,20.5,1
1,2,0,137,195.5,1,28.4,0
2,2,0,212,79.6,1,25.0,0
3,2,1,333,10.4,0,24.3,0
0,0,0,176,20.8,1,21.2,1
3,0,0,310,16.4,1,17.7,0
3,2,0,302,43.3,0,18.6,0
2,2,1,248,23.7,0,28.3,1
2,2,1,135,75.2,1,27.1,0
4,0,0,188,2.7,0,28.2,1
0,2,0,197,41.7,0,28.3,1
1,2,0,188,41.8,1,30.0,1
4,1,1,187,85.6,0,28.9,1
4,0,0,166,76.2,0,27.6,1
2,0,0,169,1.4,0,30.1,0
4,0,1,210,7.6,1,27.5,0
3,0,1,293,16.4,0,15.0,1
0,0,0,177,9.6,0,30.9,0
4,0,0,233,20.0,1,28.8,1
1,2,1,191,22.5,0,30.7,1
3,0,0,311,35.7,1,21.4,1
1,1,1,259,40.3,0,28.3,1
1,0,1,209,39.6,0,29.9,1
4,2,1,208,36.9,0,29.6,1
3,2,0,322,4.9,1,19.7,0
1,1,0,179,41.3,0,22.0,0
3,0,1,303,16.7,1,19.3,0
3,1,0,340,9.9,0,21.7,0
0,2,0,180,61.3,0,31.3,0
0,0,1,173,104.9,1,25.9,1
4,0,0,210,48.9,1,23.8,0
4,0,0,181,20.4,1,25.6,0
1,2,0,195,3.7,0,32.8,0
1,0,1,168,3.1,1,28.8,0
0,1,1,163,3.1,1,32.8,0
2,1,1,179,0.4,1,24.5,1
3,0,1,336,3.3,0,24.4,0
0,0,0,181,173.5,0,31.4,1
3,0,0,349,7.3,1,23.9,0
0,2,0,234,11.4,0,25.2,0
1,1,0,146,21.1,0,25.3,1
4,0,1,198,19.0,1,33.2,0
4,0,0,209,152.7,0,26.4,1
0,1,1,162,1.3,0,28.4,1
3,0,0,326,10.6,1,21.6,0
2,0,0,163,11.2,0,25.3,0
1,2,0,186,51.8,0,35.2,0
3,0,0,328,7.8,0,25.0,0
1,2,0,206,17.4,1,21.8,0
3,0,0,310,11.7,1,25.0,0
3,1,1,285,7.4,1,20.8,0
4,1,0,176,4.8,0,27.7,1
3,0,1,361,2.3,0,20.0,1
4,1,0,177,8.1,1,24.4,0
4,2,0,192,3.0,1,32.2,0
4,0,0,195,7.1,0,30.7,0
1,2,0,173,5.6,0,28.4,0
2,2,0,171,17.7,0,31.2,0
3,1,0,288,5.0,0,21.6,0
0,0,0,219,28.6,1,29.9,0
1,0,0,185,9.8,1,30.9,0
